,Road_Configuration,Light_Condition
374,"TWO-WAY,NOT DIVIDED",DAYLIGHT
375,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
376,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
377,"TWO-WAY,NOT DIVIDED",DAYLIGHT
378,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
379,"TWO-WAY,NOT DIVIDED",DAYLIGHT
380,"TWO-WAY,NOT DIVIDED",DAYLIGHT
381,"TWO-WAY,NOT DIVIDED",DAYLIGHT
382,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
383,"TWO-WAY,NOT DIVIDED",DAYLIGHT
384,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
385,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
386,"TWO-WAY,NOT DIVIDED",DAYLIGHT
387,"TWO-WAY,NOT DIVIDED",DAYLIGHT
388,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
389,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
390,"TWO-WAY,NOT DIVIDED",DAYLIGHT
391,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
392,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
393,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
